epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2948,1.42745,5.89039,1.03759,0.00247,0.16667,0.00117,0.00068,1.74243,330.225,1.05407,0.00048,0.00048,0.00048
2,86.0901,1.61269,2.72404,1.12413,0.01246,0.10256,0.00266,0.00122,2.47007,39.6227,2.34437,0.000941192,0.000941192,0.000941192
3,131.609,1.67498,1.80841,1.24451,0.00166,0.12821,0.00048,0.00021,2.25287,inf,2.5787,0.00136278,0.00136278,0.00136278
4,174.974,1.88396,1.89625,1.28439,0,0,0,0,3.87695,383.333,90.4543,0.00174478,0.00174478,0.00174478
5,209.64,1.94196,1.81336,1.32325,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
6,243.582,1.73087,1.55624,1.26614,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
7,275.331,1.62725,1.34109,1.21733,0.05675,0.0641,0.01129,0.0024,nan,nan,nan,0.0015248,0.0015248,0.0015248
8,312.857,1.61315,1.14712,1.15756,0.00087,0.17949,0.00047,0.00028,1.76872,859.437,1.48652,0.0014456,0.0014456,0.0014456
9,348.37,1.59101,1.36341,1.17486,0.84565,0.17949,0.19026,0.10446,1.67262,1.70011,1.47531,0.0013664,0.0013664,0.0013664
10,386.003,1.50404,1.13297,1.11206,0.66747,0.47436,0.50597,0.2244,1.38457,1.03256,1.03905,0.0012872,0.0012872,0.0012872
11,425.752,1.548,1.0295,1.12407,0.98502,0.19231,0.25249,0.17884,1.22278,2.0005,0.96983,0.001208,0.001208,0.001208
12,459.725,1.35773,0.95635,1.05031,0.51263,0.21581,0.25259,0.14348,1.86126,2.43015,1.13937,0.0011288,0.0011288,0.0011288
13,492.737,1.3754,0.9321,1.09223,0.61328,0.20513,0.22368,0.12868,1.77829,1.93545,1.30803,0.0010496,0.0010496,0.0010496
14,528.647,1.38037,0.88519,1.06879,0.78324,0.4359,0.51556,0.30366,1.19739,1.00431,0.92878,0.0009704,0.0009704,0.0009704
15,565.791,1.32709,0.86679,1.04709,0.88228,0.4359,0.43677,0.24691,1.26355,1.2021,0.93366,0.0008912,0.0008912,0.0008912
16,631.787,1.23412,0.81962,1.04347,0.88164,0.5,0.59645,0.33637,1.21545,0.86566,0.92387,0.000812,0.000812,0.000812
17,661.961,1.24356,0.83532,1.0573,0.82775,0.35897,0.45808,0.26994,1.36,1.0393,0.93869,0.0007328,0.0007328,0.0007328
18,704.924,1.1136,0.71631,0.98759,0.72941,0.35897,0.47391,0.28861,1.12631,0.93127,0.88844,0.0006536,0.0006536,0.0006536
19,740.84,1.11637,0.69408,0.97925,0.94539,0.47436,0.61087,0.35775,1.08132,0.95223,0.86924,0.0005744,0.0005744,0.0005744
20,774.204,1.12201,0.69685,0.98395,0.84375,0.67949,0.75636,0.41474,1.11949,0.70127,0.83676,0.0004952,0.0004952,0.0004952
21,811.439,1.09919,0.65768,1.01843,0.79655,0.67949,0.75243,0.40553,1.06581,0.62065,0.83789,0.000416,0.000416,0.000416
22,849.684,1.08882,0.653,0.93981,0.8914,0.7367,0.81236,0.45365,0.99539,0.58576,0.81922,0.0003368,0.0003368,0.0003368
23,889.977,1.07826,0.60815,0.98696,0.90514,0.78205,0.85494,0.47085,0.99328,0.5429,0.81624,0.0002576,0.0002576,0.0002576
24,930.669,0.9874,0.59393,0.97048,0.96198,0.65385,0.80909,0.48138,0.95399,0.55041,0.804,0.0001784,0.0001784,0.0001784
25,965.163,0.9536,0.57172,0.91833,0.93206,0.70355,0.84013,0.48853,0.93944,0.54267,0.81018,9.92e-05,9.92e-05,9.92e-05
